player_name,position,date_of_birth,age,nationality,club_name,league_name,season,year
Bobby Jones,Goalkeeper,2001-11-20,18,Ireland,Wigan Athletic,League One,2020/2021,2020
Curtis Tilt,Centre-Back,1991-08-04,29,England,Wigan Athletic,League One,2020/2021,2020
Emeka Obi,Centre-Back,2001-06-06,19,England,Wigan Athletic,League One,2020/2021,2020
Darnell Johnson,Centre-Back,1998-09-03,22,England,Wigan Athletic,League One,2020/2021,2020
Adam Long,Centre-Back,2000-11-11,19,England,Wigan Athletic,League One,2020/2021,2020
Tom Pearce,Left-Back,1998-04-12,22,England,Wigan Athletic,League One,2020/2021,2020
Luke Robinson,Left-Back,2001-11-20,18,Scotland,Wigan Athletic,League One,2020/2021,2020
Patrick Webber,Left-Back,1999-05-14,21,England,Wigan Athletic,League One,2020/2021,2020
Tom James,Right-Back,1996-04-15,24,Wales,Wigan Athletic,League One,2020/2021,2020
Alex Perry,Defensive Midfield,1998-03-04,22,England,Wigan Athletic,League One,2020/2021,2020
Lee Evans,Central Midfield,1994-07-24,26,Wales,Wigan Athletic,League One,2020/2021,2020
Matt Palmer,Central Midfield,1995-02-27,25,England,Wigan Athletic,League One,2020/2021,2020
Chris Merrie,Central Midfield,1998-11-02,22,England,Wigan Athletic,League One,2020/2021,2020
Scott Smith,Central Midfield,2001-02-07,19,Wales,Wigan Athletic,League One,2020/2021,2020
Dan Gardner,Attacking Midfield,1990-04-05,30,England,Wigan Athletic,League One,2020/2021,2020
Thelo Aasgaard,Attacking Midfield,2002-05-02,18,Norway,Wigan Athletic,League One,2020/2021,2020
MacKenzie O'Neill,Attacking Midfield,2002-01-20,18,Northern Ireland,Wigan Athletic,League One,2020/2021,2020
Sean McGurk,Attacking Midfield,2003-03-15,17,England,Wigan Athletic,League One,2020/2021,2020
Gary Roberts,Left Winger,1984-03-18,36,England,Wigan Athletic,League One,2020/2021,2020
Kal Naismith,Right Winger,1992-02-18,28,Scotland,Wigan Athletic,League One,2020/2021,2020
Gavin Massey,Right Winger,1992-10-14,28,England,Wigan Athletic,League One,2020/2021,2020
Viv Solomon-Otabor,Right Winger,1996-01-02,24,Nigeria,Wigan Athletic,League One,2020/2021,2020
Oliver Crankshaw,Right Winger,1998-08-12,22,England,Wigan Athletic,League One,2020/2021,2020
Will Keane,Centre-Forward,1993-01-11,27,England,Wigan Athletic,League One,2020/2021,2020
Joe Garner,Centre-Forward,1988-04-12,32,England,Wigan Athletic,League One,2020/2021,2020
Kyle Joseph,Centre-Forward,2001-09-10,19,Scotland,Wigan Athletic,League One,2020/2021,2020
Charlie Jolley,Centre-Forward,2001-01-13,19,England,Wigan Athletic,League One,2020/2021,2020
Divin Baningime,Centre-Forward,2000-10-13,20,DR Congo,Wigan Athletic,League One,2020/2021,2020
Joe Piggott,Centre-Forward,1999-06-23,21,England,Wigan Athletic,League One,2020/2021,2020
Matej Kovar,Goalkeeper,2000-05-17,20,Czech Republic,Swindon Town,League One,2020/2021,2020
Joe Fryer,Goalkeeper,1995-11-14,24,England,Swindon Town,League One,2020/2021,2020
Archie Matthews,Goalkeeper,2001-08-02,19,England,Swindon Town,League One,2020/2021,2020
Mathieu Baudry,Centre-Back,1988-02-24,32,France,Swindon Town,League One,2020/2021,2020
Dion Conroy,Centre-Back,1995-12-11,24,England,Swindon Town,League One,2020/2021,2020
Tom Broadbent,Centre-Back,1992-02-15,28,England,Swindon Town,League One,2020/2021,2020
Akin Odimayo,Centre-Back,1999-11-28,20,England,Swindon Town,League One,2020/2021,2020
Taylor Curran,Centre-Back,2000-07-07,20,England,Swindon Town,League One,2020/2021,2020
Zeki Fryers,Left-Back,1992-09-09,28,England,Swindon Town,League One,2020/2021,2020
Jonathan Grounds,Left-Back,1988-02-02,32,England,Swindon Town,League One,2020/2021,2020
Dion Donohue,Left-Back,1993-08-26,27,Wales,Swindon Town,League One,2020/2021,2020
Ellis Iandolo,Left-Back,1997-08-22,23,England,Swindon Town,League One,2020/2021,2020
Paul Caddis,Right-Back,1988-04-19,32,Scotland,Swindon Town,League One,2020/2021,2020
Rob Hunt,Right-Back,1995-07-07,25,England,Swindon Town,League One,2020/2021,2020
Jordan Lyden,Central Midfield,1996-01-30,24,Australia,Swindon Town,League One,2020/2021,2020
